,index,key,file_name,file_path,jpg_path,cluster_index
56,56,5326524,5326524.jpg,data/raw/orignal_images/5326524.jpg,data/processed/transformed_images/5326524.jpg,19
57,57,4000703,4000703.jpg,data/raw/orignal_images/4000703.jpg,data/processed/transformed_images/4000703.jpg,-1
58,58,5254843,5254843.jpg,data/raw/orignal_images/5254843.jpg,data/processed/transformed_images/5254843.jpg,-1
59,59,5251794,5251794.jpg,data/raw/orignal_images/5251794.jpg,data/processed/transformed_images/5251794.jpg,20
60,60,4000405,4000405.jpg,data/raw/orignal_images/4000405.jpg,data/processed/transformed_images/4000405.jpg,21
61,61,3999649,3999649.jpg,data/raw/orignal_images/3999649.jpg,data/processed/transformed_images/3999649.jpg,22
62,62,4000625,4000625.jpg,data/raw/orignal_images/4000625.jpg,data/processed/transformed_images/4000625.jpg,-1
63,63,5164572,5164572.jpg,data/raw/orignal_images/5164572.jpg,data/processed/transformed_images/5164572.jpg,-1
64,64,5254721,5254721.jpg,data/raw/orignal_images/5254721.jpg,data/processed/transformed_images/5254721.jpg,-1
65,65,5254907,5254907.jpg,data/raw/orignal_images/5254907.jpg,data/processed/transformed_images/5254907.jpg,-1
66,66,4000097,4000097.jpg,data/raw/orignal_images/4000097.jpg,data/processed/transformed_images/4000097.jpg,-1
67,67,4001367,4001367.jpg,data/raw/orignal_images/4001367.jpg,data/processed/transformed_images/4001367.jpg,-1
68,68,5251700,5251700.jpg,data/raw/orignal_images/5251700.jpg,data/processed/transformed_images/5251700.jpg,23
69,69,4000973,4000973.jpg,data/raw/orignal_images/4000973.jpg,data/processed/transformed_images/4000973.jpg,-1
70,70,4000389,4000389.jpg,data/raw/orignal_images/4000389.jpg,data/processed/transformed_images/4000389.jpg,24
71,71,5234576,5234576.jpg,data/raw/orignal_images/5234576.jpg,data/processed/transformed_images/5234576.jpg,-1
72,72,5338468,5338468.jpg,data/raw/orignal_images/5338468.jpg,data/processed/transformed_images/5338468.jpg,-1
73,73,5326660,5326660.jpg,data/raw/orignal_images/5326660.jpg,data/processed/transformed_images/5326660.jpg,25
74,74,5234554,5234554.jpg,data/raw/orignal_images/5234554.jpg,data/processed/transformed_images/5234554.jpg,-1
75,75,5251708,5251708.jpg,data/raw/orignal_images/5251708.jpg,data/processed/transformed_images/5251708.jpg,-1
76,76,5164580,5164580.jpg,data/raw/orignal_images/5164580.jpg,data/processed/transformed_images/5164580.jpg,-1
77,77,5234510,5234510.jpg,data/raw/orignal_images/5234510.jpg,data/processed/transformed_images/5234510.jpg,26
78,78,5316790,5316790.jpg,data/raw/orignal_images/5316790.jpg,data/processed/transformed_images/5316790.jpg,-1
79,79,3999715,3999715.jpg,data/raw/orignal_images/3999715.jpg,data/processed/transformed_images/3999715.jpg,27
80,80,5326600,5326600.jpg,data/raw/orignal_images/5326600.jpg,data/processed/transformed_images/5326600.jpg,-1
81,81,4000785,4000785.jpg,data/raw/orignal_images/4000785.jpg,data/processed/transformed_images/4000785.jpg,-1
82,82,4000605,4000605.jpg,data/raw/orignal_images/4000605.jpg,data/processed/transformed_images/4000605.jpg,28
83,83,4001115,4001115.jpg,data/raw/orignal_images/4001115.jpg,data/processed/transformed_images/4001115.jpg,29
84,84,5338604,5338604.jpg,data/raw/orignal_images/5338604.jpg,data/processed/transformed_images/5338604.jpg,-1
85,85,4001357,4001357.jpg,data/raw/orignal_images/4001357.jpg,data/processed/transformed_images/4001357.jpg,-1
86,86,5234580,5234580.jpg,data/raw/orignal_images/5234580.jpg,data/processed/transformed_images/5234580.jpg,30
87,87,5251472,5251472.jpg,data/raw/orignal_images/5251472.jpg,data/processed/transformed_images/5251472.jpg,-1
88,88,4000171,4000171.jpg,data/raw/orignal_images/4000171.jpg,data/processed/transformed_images/4000171.jpg,-1
89,89,5251464,5251464.jpg,data/raw/orignal_images/5251464.jpg,data/processed/transformed_images/5251464.jpg,-1
90,90,5326536,5326536.jpg,data/raw/orignal_images/5326536.jpg,data/processed/transformed_images/5326536.jpg,-1
91,91,4000931,4000931.jpg,data/raw/orignal_images/4000931.jpg,data/processed/transformed_images/4000931.jpg,-1
92,92,5340082,5340082.jpg,data/raw/orignal_images/5340082.jpg,data/processed/transformed_images/5340082.jpg,-1
93,93,5234040,5234040.jpg,data/raw/orignal_images/5234040.jpg,data/processed/transformed_images/5234040.jpg,-1
94,94,4000617,4000617.jpg,data/raw/orignal_images/4000617.jpg,data/processed/transformed_images/4000617.jpg,31
95,95,4001609,4001609.jpg,data/raw/orignal_images/4001609.jpg,data/processed/transformed_images/4001609.jpg,32
96,96,5233823,5233823.jpg,data/raw/orignal_images/5233823.jpg,data/processed/transformed_images/5233823.jpg,-1
97,97,4001537,4001537.jpg,data/raw/orignal_images/4001537.jpg,data/processed/transformed_images/4001537.jpg,-1
98,98,4000215,4000215.jpg,data/raw/orignal_images/4000215.jpg,data/processed/transformed_images/4000215.jpg,-1
99,99,3999823,3999823.jpg,data/raw/orignal_images/3999823.jpg,data/processed/transformed_images/3999823.jpg,-1
100,100,4000415,4000415.jpg,data/raw/orignal_images/4000415.jpg,data/processed/transformed_images/4000415.jpg,33
101,101,4000003,4000003.jpg,data/raw/orignal_images/4000003.jpg,data/processed/transformed_images/4000003.jpg,34
102,102,5359396,5359396.jpg,data/raw/orignal_images/5359396.jpg,data/processed/transformed_images/5359396.jpg,16
103,103,5359372,5359372.jpg,data/raw/orignal_images/5359372.jpg,data/processed/transformed_images/5359372.jpg,-1
104,104,5251578,5251578.jpg,data/raw/orignal_images/5251578.jpg,data/processed/transformed_images/5251578.jpg,-1
105,105,5251760,5251760.jpg,data/raw/orignal_images/5251760.jpg,data/processed/transformed_images/5251760.jpg,17
106,106,5338638,5338638.jpg,data/raw/orignal_images/5338638.jpg,data/processed/transformed_images/5338638.jpg,35
107,107,5234060,5234060.jpg,data/raw/orignal_images/5234060.jpg,data/processed/transformed_images/5234060.jpg,-1
108,108,4001033,4001033.jpg,data/raw/orignal_images/4001033.jpg,data/processed/transformed_images/4001033.jpg,36
109,109,3999839,3999839.jpg,data/raw/orignal_images/3999839.jpg,data/processed/transformed_images/3999839.jpg,-1
110,110,4001383,4001383.jpg,data/raw/orignal_images/4001383.jpg,data/processed/transformed_images/4001383.jpg,-1
111,111,5234522,5234522.jpg,data/raw/orignal_images/5234522.jpg,data/processed/transformed_images/5234522.jpg,37
112,112,5233671,5233671.jpg,data/raw/orignal_images/5233671.jpg,data/processed/transformed_images/5233671.jpg,-1
113,113,3999651,3999651.jpg,data/raw/orignal_images/3999651.jpg,data/processed/transformed_images/3999651.jpg,22
114,114,3999751,3999751.jpg,data/raw/orignal_images/3999751.jpg,data/processed/transformed_images/3999751.jpg,-1
115,115,5164614,5164614.jpg,data/raw/orignal_images/5164614.jpg,data/processed/transformed_images/5164614.jpg,38
116,116,4000789,4000789.jpg,data/raw/orignal_images/4000789.jpg,data/processed/transformed_images/4000789.jpg,-1
117,117,5326576,5326576.jpg,data/raw/orignal_images/5326576.jpg,data/processed/transformed_images/5326576.jpg,-1
118,118,5326498,5326498.jpg,data/raw/orignal_images/5326498.jpg,data/processed/transformed_images/5326498.jpg,-1
119,119,5359360,5359360.jpg,data/raw/orignal_images/5359360.jpg,data/processed/transformed_images/5359360.jpg,-1
